"MONTH","P_TC","P_PFPR","P_TACT","FREQ_plasmepsin_95","FREQ_plasmepsin_50","FREQ_plasmepsin_05","FREQ_580Y_95","FREQ_580Y_50","FREQ_580Y_05","FREQ_mdr1_95","FREQ_mdr1_50","FREQ_mdr1_05","FREQ_184F_95","FREQ_184F_50","FREQ_184F_05","FREQ_86Y_95","FREQ_86Y_50","FREQ_86Y_05","FREQ_76T_95","FREQ_76T_50","FREQ_76T_05"
50,0.25,0.001,"ASMQ_PPQ",0.1713776,0.0174941,0,0.3555851,0.07385145,0.007053745,0.2125047,0.0232623,0,0.2054301,0.0356684,0,0.93476995,0.6236065,0.1655901,0.9647497,0.7223565,0.31987765
51,0.25,0.001,"ASMQ_PPQ",0.173403,0.01964675,0,0.345229,0.0761836,0.007837747,0.2181603,0.0237279,0,0.20783515,0.034494,0,0.94526825,0.630075,0.1586905,0.9637855,0.7102025,0.30813855
52,0.25,0.001,"ASMQ_PPQ",0.18016105,0.0191701,0,0.3491924,0.07722965,0.006446937,0.2216879,0.02622475,0,0.2110567,0.03914255,0,0.955087,0.63226,0.1669134,0.9621158,0.710297,0.3192217
53,0.25,0.001,"ASMQ_PPQ",0.18334975,0.01772025,0,0.32773285,0.0769563,0.0064415295,0.2359756,0.0233016,0,0.21805485,0.03716815,0,0.94986925,0.6230925,0.1702748,0.95792325,0.717935,0.3381278
54,0.25,0.001,"ASMQ_PPQ",0.18202265,0.01764965,0,0.33100605,0.0744914,0.007342436,0.2262278,0.03169735,0,0.22176005,0.03975175,0,0.95774435,0.6293115,0.16638855,0.96353485,0.7098165,0.34151765
55,0.25,0.001,"ASMQ_PPQ",0.1910609,0.01895135,0,0.346171,0.073333,0.007734675,0.23307375,0.03540725,0,0.2138261,0.037204,0,0.9629856,0.6207205,0.1902481,0.9687719,0.707963,0.3509918
56,0.25,0.001,"ASMQ_PPQ",0.19291015,0.01681095,0,0.34004545,0.07092085,0.0071940305,0.2579572,0.03873295,0,0.20683365,0.0382982,0,0.9562851,0.61782,0.18696635,0.964364,0.706559,0.3286769
57,0.25,0.001,"ASMQ_PPQ",0.1944269,0.014189,0,0.3340883,0.08126855,0.0069439275,0.2666512,0.03735605,0,0.22096705,0.0399048,0,0.9513235,0.6099115,0.17554025,0.9682698,0.704932,0.340916
58,0.25,0.001,"ASMQ_PPQ",0.2158765,0.0132064,0,0.349661,0.0776714,0.00867714,0.2513809,0.0410066,0,0.22636685,0.03559055,0,0.9537053,0.606081,0.19413555,0.9711426,0.6945665,0.32772945
59,0.25,0.001,"ASMQ_PPQ",0.2154103,0.01477935,0,0.3575792,0.079048,0.005689396,0.2814759,0.03815345,0,0.2343378,0.03816605,0,0.9613748,0.615731,0.2016989,0.97143335,0.706474,0.3453793
