P_SWITCH_YEAR	P_PFPR	P_TACT	P_TC	FREQ_580Y_2032	PFPR_2032	TFR_10Y
2022	0.1	1	0.5	0.318618	0.00897493	14.93000215
2022	0.1	1	0.5	0.00323625	0.00442192	15.45840993
2022	0.1	1	0.5	0.45631048	0.00177016	15.94219347
2022	0.1	1	0.5	0	0.00184446	15.97855912
2022	0.1	1	0.5	0.00452489	0.00284382	15.71645042
2022	0.1	1	0.5	0.00241546	0.00737791	15.47864436
2022	0.1	1	0.5	0.00310559	0.00538705	14.99884978
2022	0.1	1	0.5	0.09756106	0.00162212	16.03610137
2022	0.1	1	0.5	0.0210084	0.00442551	15.35525288
2022	0.1	1	0.5	0.00869566	0.00372714	15.20804715
2022	0.1	1	0.5	0.0287356	0.002472	15.38277757
2022	0.1	1	0.5	0.01626017	0.00609322	15.41844685
2022	0.1	1	0.5	0.00178253	0.00814814	15.59751921
2022	0.1	1	0.5	0	0.00161969	15.84324234
2022	0.1	1	0.5	0	0.00209884	15.67625832
2022	0.1	1	0.5	0.01706485	0.00427392	15.77390434
2022	0.1	1	0.5	0	0.00303013	15.20811564
2022	0.1	1	0.5	0.0050505	0.00560136	15.06507703
2022	0.1	1	0.5	0.0421687	0.00331275	15.65561508
2022	0.1	1	0.5	0	0.003174	15.865986
2022	0.1	1	0.5	0.0017094	0.00992062	15.42623136
2022	0.1	1	0.5	0.00207039	0.0089014	15.36002636
2022	0.1	1	0.5	0.00829876	0.00401527	15.67452889
2022	0.1	1	0.5	0.01232029	0.00752187	14.84841169
2022	0.1	1	0.5	0.492933	0.00887508	16.46132786
2022	0.1	1	0.5	0	0.000738028	15.24958599
2022	0.1	1	0.5	0	0.0054238	15.56199882
2022	0.1	1	0.5	0.00408163	0.00442518	15.66656813
2022	0.1	1	0.5	0	0.00313312	15.66897597
2022	0.1	1	0.5	0	0.00686998	15.65686222
2022	0.1	1	0.5	0.12317336	0.00842425	15.33754064
2022	0.1	1	0.5	0.00680272	0.00446388	15.84469228
2022	0.1	1	0.5	0.00588236	0.00575508	15.15151515
2022	0.1	1	0.5	0.175824	0.00147684	14.95576111
2022	0.1	1	0.5	0.00719424	0.00478911	15.42844855
