"MONTH","P_TC","P_PFPR","P_TACT","FREQ_plasmepsin_95","FREQ_plasmepsin_50","FREQ_plasmepsin_05","FREQ_580Y_95","FREQ_580Y_50","FREQ_580Y_05","FREQ_mdr1_95","FREQ_mdr1_50","FREQ_mdr1_05","FREQ_184F_95","FREQ_184F_50","FREQ_184F_05","FREQ_86Y_95","FREQ_86Y_50","FREQ_86Y_05","FREQ_76T_95","FREQ_76T_50","FREQ_76T_05"
29,0.25,0.001,"baseline",0.15557735,0.03962655,0.00155216,0.2594618,0.0708605,0.0077008215,0.18650675,0.03402615,0,0.1444098,0.03753055,0.0018568255,0.89353045,0.6684105,0.3756993,0.93220505,0.7126265,0.2688901
30,0.25,0.001,"baseline",0.1434208,0.03654545,0.001576673,0.2566235,0.0743387,0.006387141,0.19284975,0.03059855,0.000654721,0.14187995,0.03757525,0.0016394295,0.88944495,0.671503,0.37336635,0.9281745,0.719153,0.26615855
31,0.25,0.001,"baseline",0.1400279,0.03588195,0.00162963,0.26745295,0.07480015,0.0058316065,0.20491605,0.03364625,0.00092786085,0.144375,0.03361705,0.0023189635,0.90105185,0.669328,0.38022285,0.91677705,0.721756,0.28185595
32,0.25,0.001,"baseline",0.14749575,0.03743565,0.0016696655,0.2907391,0.0770853,0.006841321,0.21294875,0.0323923,0.0009803905,0.1464065,0.0343142,0.0023827235,0.90672425,0.6752055,0.3857564,0.9240716,0.726501,0.261648
33,0.25,0.001,"baseline",0.1462169,0.03673825,0.0007686089,0.28857285,0.07451025,0.0073460435,0.2027325,0.0325476,0.0010416655,0.1580059,0.0337257,0.002474373,0.9096078,0.672756,0.3878964,0.919872,0.726069,0.2777497
34,0.25,0.001,"baseline",0.1406255,0.03502985,0.00079100705,0.2926862,0.07612545,0.0071457135,0.1969105,0.03330045,0.0010944665,0.1669562,0.03523525,0.0021823045,0.89862675,0.673618,0.3831872,0.92122825,0.725928,0.27626865
35,0.25,0.001,"baseline",0.15502495,0.0398862,0.0011713975,0.31423615,0.07713915,0.007119238,0.19748765,0.0354215,0.0011553905,0.165027,0.031108,0.0011575795,0.8901745,0.679407,0.37980785,0.9237915,0.7261505,0.30162175
36,0.25,0.001,"baseline",0.1503646,0.04226315,0,0.29989385,0.0715047,0.0060626805,0.18789735,0.03817955,0.00098719055,0.16413185,0.03123575,0.0022640755,0.90331015,0.681064,0.36769845,0.9250087,0.727365,0.28040775
37,0.25,0.001,"baseline",0.1520394,0.04155185,0,0.29104455,0.07324,0.00778305,0.1857563,0.03620315,0.001010267,0.16244585,0.0368035,0.0030543485,0.90243095,0.682773,0.36662215,0.92217965,0.7276055,0.2836255
38,0.25,0.001,"baseline",0.1766787,0.03940025,0.001532255,0.2966616,0.0746619,0.0080717155,0.1837107,0.034802,0.00100303095,0.158762,0.03468525,0.0015783815,0.913576,0.69119,0.35813525,0.916513,0.723699,0.28637275
39,0.25,0.001,"baseline",0.1690484,0.0382507,0.002119876,0.30231615,0.07976915,0.0076914585,0.1838649,0.0358658,0.00124792855,0.1608072,0.03473875,0.0015842675,0.9174632,0.6869835,0.35323295,0.92293565,0.721978,0.29587575
40,0.25,0.001,"baseline",0.162378,0.03779705,0.0021053275,0.3014606,0.0737768,0.0105411335,0.17420585,0.0325503,0.0011050845,0.15843475,0.0360011,0.001249845,0.91055875,0.674785,0.33211255,0.92651815,0.720715,0.30560445
41,0.25,0.001,"baseline",0.15804005,0.03955035,0.002030817,0.3036858,0.07324115,0.010983505,0.17417165,0.03026895,0.001302628,0.15846025,0.0353053,0.00130023,0.8921019,0.6793035,0.3414845,0.9259981,0.7210335,0.3031541
42,0.25,0.001,"baseline",0.15687905,0.03545095,0.001566088,0.3051237,0.06633225,0.0097888095,0.16393705,0.0303162,0.0011528169,0.1693019,0.03344255,0.0020406235,0.89529185,0.685363,0.34319435,0.9262871,0.723011,0.2784043
43,0.25,0.001,"baseline",0.1662461,0.0362169,0.001514677,0.30071315,0.0709482,0.010317967,0.16574835,0.0266505,0.0008342327,0.1598327,0.03298605,0.001399798,0.89554925,0.6835825,0.33721575,0.9294528,0.719806,0.2692352
44,0.25,0.001,"baseline",0.1714421,0.0365648,0.001988404,0.29705055,0.06550085,0.009237534,0.16022285,0.02830495,0.00054629085,0.15461405,0.03811325,0.0022982835,0.9010471,0.6997095,0.3991463,0.9342425,0.7188345,0.24490685
45,0.25,0.001,"baseline",0.1648554,0.0332001,0.002843718,0.29568935,0.0670529,0.007122005,0.15437775,0.0277231,0.0006672149,0.1474345,0.0356457,0.001220191,0.9016684,0.699021,0.40504755,0.9293062,0.7204945,0.2779922
46,0.25,0.001,"baseline",0.1510631,0.0320634,0.0020481,0.2862314,0.06796935,0.008454077,0.16076835,0.02745635,0.00063502655,0.1421592,0.0371749,0.001629196,0.91068525,0.7002665,0.36279365,0.93117995,0.7198185,0.2833756
47,0.25,0.001,"baseline",0.1457297,0.0305782,0.0027527855,0.29388505,0.0637596,0.0102555405,0.15729425,0.027311,0,0.13856495,0.03518585,0.001166451,0.9179585,0.7016425,0.4047514,0.92406145,0.7205745,0.29148415
